date,revenue,users,churn_rate
2024-01-01,100.0,1000,0.04
2024-01-02,100.35,1000,0.04
2024-01-03,100.7,1001,0.04
2024-01-04,101.05,1001,0.04
2024-01-05,101.4,1002,0.04
2024-01-06,101.75,1003,0.04
2024-01-07,102.1,1003,0.04
2024-01-08,102.45,1004,0.04
2024-01-09,102.8,1004,0.04
2024-01-10,103.15,1005,0.04
2024-01-11,103.5,1006,0.04
2024-01-12,103.85,1006,0.04
2024-01-13,104.2,1007,0.04
2024-01-14,104.55,1007,0.04
2024-01-15,104.9,1008,0.04
2024-01-16,105.25,1009,0.04
2024-01-17,105.6,1009,0.04
2024-01-18,105.95,1010,0.04
2024-01-19,106.3,1010,0.04
2024-01-20,106.65,1011,0.04
2024-01-21,107.0,1012,0.04
2024-01-22,107.35,1012,0.04
2024-01-23,107.7,1013,0.04
2024-01-24,108.05,1013,0.04
2024-01-25,108.4,1014,0.04
2024-01-26,108.75,1015,0.04
2024-01-27,109.1,1015,0.04
2024-01-28,109.45,1016,0.04
2024-01-29,109.8,1016,0.04
2024-01-30,110.15,1017,0.04
2024-01-31,110.5,1018,0.04
2024-02-01,110.85,1018,0.04
2024-02-02,111.2,1019,0.04
2024-02-03,111.55,1019,0.04
2024-02-04,111.9,1020,0.04
2024-02-05,112.25,1021,0.04
2024-02-06,112.6,1021,0.04
2024-02-07,112.95,1022,0.04
2024-02-08,113.3,1022,0.04
2024-02-09,113.65,1023,0.04
2024-02-10,114.0,1024,0.04
2024-02-11,114.35,1024,0.04
2024-02-12,114.7,1025,0.04
2024-02-13,115.05,1025,0.04
2024-02-14,115.4,1026,0.04
2024-02-15,115.75,1027,0.04
2024-02-16,116.1,1027,0.04
2024-02-17,116.45,1028,0.04
2024-02-18,116.8,1028,0.04
2024-02-19,117.15,1029,0.04
2024-02-20,117.5,1030,0.04
2024-02-21,117.85,1030,0.04
2024-02-22,118.2,1031,0.04
2024-02-23,118.55,1031,0.04
2024-02-24,118.9,1032,0.04
2024-02-25,119.25,1033,0.04
2024-02-26,119.6,1033,0.04
2024-02-27,119.95,1034,0.04
2024-02-28,120.3,1034,0.04
2024-02-29,120.65,1035,0.04
2024-03-01,121.0,1036,0.04
2024-03-02,121.35,1036,0.04
2024-03-03,121.7,1037,0.04
2024-03-04,122.05,1037,0.04
2024-03-05,122.4,1038,0.04
2024-03-06,122.75,1039,0.04
2024-03-07,123.1,1039,0.04
2024-03-08,123.45,1040,0.04
2024-03-09,123.8,1040,0.04
2024-03-10,124.15,1041,0.04
2024-03-11,124.5,1042,0.04
2024-03-12,124.85,1042,0.04
2024-03-13,125.2,1043,0.04
2024-03-14,125.55,1043,0.04
2024-03-15,125.9,1044,0.04
2024-03-16,126.25,1045,0.04
2024-03-17,126.6,1045,0.04
2024-03-18,126.95,1046,0.04
2024-03-19,127.3,1046,0.04
2024-03-20,127.65,1047,0.04
2024-03-21,128.0,1048,0.04
2024-03-22,128.35,1048,0.04
2024-03-23,128.7,1049,0.04
2024-03-24,129.05,1049,0.04
2024-03-25,129.4,1050,0.04
2024-03-26,129.75,1051,0.04
2024-03-27,130.1,1051,0.04
2024-03-28,130.45,1052,0.04
2024-03-29,130.8,1052,0.04
2024-03-30,131.15,1053,0.04
2024-03-31,131.5,1054,0.04
2024-04-01,131.85,1054,0.04
2024-04-02,132.2,1055,0.04
2024-04-03,132.55,1055,0.04
2024-04-04,132.9,1056,0.04
2024-04-05,133.25,1057,0.04
2024-04-06,133.6,1057,0.04
2024-04-07,133.95,1058,0.04
2024-04-08,134.3,1058,0.04
2024-04-09,134.65,1059,0.04
2024-04-10,135.0,1060,0.04
2024-04-11,135.35,1060,0.04
2024-04-12,135.7,1061,0.04
2024-04-13,136.05,1061,0.04
2024-04-14,136.4,1062,0.04
2024-04-15,136.75,1063,0.04
2024-04-16,137.1,1063,0.04
2024-04-17,137.45,1064,0.04
2024-04-18,137.8,1064,0.04
2024-04-19,138.15,1065,0.04
2024-04-20,138.5,1066,0.04
2024-04-21,138.85,1066,0.04
2024-04-22,139.2,1067,0.04
2024-04-23,139.55,1067,0.04
2024-04-24,139.9,1068,0.04
2024-04-25,140.25,1069,0.04
2024-04-26,140.6,1069,0.04
2024-04-27,140.95,1070,0.04
2024-04-28,141.3,1070,0.04
2024-04-29,141.65,1071,0.04
2024-04-30,142.0,1072,0.04
2024-05-01,142.35,1072,0.04
2024-05-02,142.7,1073,0.04
2024-05-03,143.05,1073,0.04
2024-05-04,143.4,1074,0.04
2024-05-05,143.75,1075,0.04
2024-05-06,144.1,1075,0.04
2024-05-07,144.45,1076,0.04
2024-05-08,144.8,1076,0.04
2024-05-09,145.15,1077,0.04
2024-05-10,145.5,1078,0.04
2024-05-11,145.85,1078,0.04
2024-05-12,146.2,1079,0.04
2024-05-13,146.55,1079,0.04
2024-05-14,146.9,1080,0.04
2024-05-15,147.25,1081,0.04
2024-05-16,147.6,1081,0.04
2024-05-17,147.95,1082,0.04
2024-05-18,148.3,1082,0.04
2024-05-19,148.65,1083,0.04
2024-05-20,149.0,1084,0.04
2024-05-21,149.35,1084,0.04
2024-05-22,149.7,1085,0.04
2024-05-23,150.05,1085,0.04
2024-05-24,150.4,1086,0.04
2024-05-25,150.75,1087,0.04
2024-05-26,151.1,1087,0.04
2024-05-27,151.45,1088,0.04
2024-05-28,151.8,1088,0.04
2024-05-29,152.15,1089,0.04
2024-05-30,152.5,1090,0.04
2024-05-31,152.85,1090,0.04
2024-06-01,153.2,1091,0.04
2024-06-02,153.55,1091,0.04
2024-06-03,153.9,1092,0.04
2024-06-04,154.25,1093,0.04
2024-06-05,154.6,1093,0.04
2024-06-06,154.95,1094,0.04
2024-06-07,155.3,1094,0.04
2024-06-08,155.65,1095,0.04
2024-06-09,156.0,1096,0.04
2024-06-10,156.35,1096,0.04
2024-06-11,156.7,1097,0.04
2024-06-12,157.05,1097,0.04
2024-06-13,157.4,1098,0.04
2024-06-14,157.75,1099,0.04
2024-06-15,158.1,1099,0.04
2024-06-16,158.45,1100,0.04
2024-06-17,158.8,1100,0.04
2024-06-18,159.15,1101,0.04
2024-06-19,159.5,1102,0.04
2024-06-20,159.85,1102,0.04
2024-06-21,160.2,1103,0.04
2024-06-22,160.55,1103,0.04
2024-06-23,160.9,1104,0.04
2024-06-24,161.25,1105,0.04
2024-06-25,161.6,1105,0.04
2024-06-26,161.95,1106,0.04
2024-06-27,162.3,1106,0.04
2024-06-28,162.65,1107,0.04
2024-06-29,163.0,1108,0.04
2024-06-30,163.35,1108,0.04
2024-07-01,163.7,1109,0.04
2024-07-02,164.05,1109,0.04
2024-07-03,164.4,1110,0.04
2024-07-04,164.75,1111,0.04
2024-07-05,165.1,1111,0.04
2024-07-06,165.45,1112,0.04
2024-07-07,165.8,1112,0.04
2024-07-08,166.15,1113,0.04
2024-07-09,166.5,1114,0.04
2024-07-10,166.85,1114,0.04
2024-07-11,167.2,1115,0.04
2024-07-12,167.55,1115,0.04
2024-07-13,167.9,1116,0.04
2024-07-14,168.25,1117,0.04
2024-07-15,168.6,1117,0.04
2024-07-16,168.95,1118,0.04
2024-07-17,169.3,1118,0.04
2024-07-18,169.65,1119,0.04
2024-07-19,170.0,1120,0.04
